loan_amount,annual_income,employment_length,debt_to_income,credit_utilization,num_delinquencies_2y,num_open_accounts,credit_history_length,num_recent_inquiries,loan_term_months,interest_rate,home_ownership_code
10921.0,47683.0,14.9,0.3959,0.6886,1,8,14.2,2,36,17.25,0
10732.0,61172.0,11.7,0.4476,0.3342,0,9,15.8,0,36,11.54,0
25377.0,32746.0,1.8,0.3632,0.3904,0,8,3.0,0,36,11.9,1
7660.0,24179.0,2.1,0.5271,0.2265,0,11,9.1,0,36,13.55,1
12524.0,43210.0,1.7,0.0206,0.2698,0,9,16.5,1,36,9.49,0
12534.0,41100.0,7.6,0.6327,0.493,0,10,20.8,0,36,14.53,1
8454.0,62907.0,8.7,0.9106,0.3082,0,13,26.3,3,36,17.79,0
4834.0,19105.0,2.5,0.5266,0.7868,0,8,8.5,2,60,18.49,1
14711.0,26087.0,0.8,0.4437,0.6318,0,7,13.5,2,36,13.69,1
11366.0,23883.0,0.9,0.4975,0.5736,0,12,6.5,0,36,14.36,0
10001.0,15260.0,0.8,0.2694,0.3638,0,14,11.7,0,36,11.93,0
9838.0,38685.0,6.7,0.2117,0.5965,0,9,9.1,4,36,16.69,1
9820.0,47283.0,3.0,0.2924,0.2635,0,8,9.5,2,36,9.53,1
5666.0,25100.0,5.4,0.1143,0.3757,0,11,15.6,0,36,10.02,2
11536.0,72608.0,7.8,0.3406,0.0513,2,10,33.8,2,36,12.98,2
3279.0,54774.0,1.6,0.0681,0.5711,1,4,10.0,0,36,10.88,0
9516.0,49696.0,6.5,0.3685,0.3661,0,7,10.9,0,36,12.81,1
3936.0,44394.0,14.2,0.2695,0.7663,0,4,4.4,0,36,13.33,0
7813.0,58562.0,2.1,0.2866,0.2592,0,13,7.2,0,36,6.22,0
14813.0,18658.0,5.2,0.2999,0.2228,0,13,8.5,2,36,12.64,1
8249.0,49363.0,13.4,0.3422,0.5187,0,8,21.3,3,60,12.97,1
7222.0,49089.0,6.4,0.3941,0.3347,0,6,6.2,1,36,13.13,1
13098.0,15005.0,11.8,0.3198,0.4425,0,9,9.6,3,36,13.05,0
8183.0,43197.0,10.8,0.8754,0.5683,0,10,10.6,3,36,18.58,0
7526.0,32042.0,5.6,0.11,0.1186,0,8,11.3,0,36,7.68,0
7588.0,53678.0,4.3,0.4368,0.6385,1,8,11.3,0,60,15.72,0
23789.0,29158.0,14.3,0.7988,0.4675,1,9,15.0,2,36,17.34,1
14299.0,35986.0,4.5,0.3433,0.1495,0,10,8.9,1,60,12.57,1
12802.0,43106.0,11.3,0.2314,0.4979,0,7,25.9,1,60,10.98,0
4695.0,23432.0,4.9,0.5134,0.4206,0,10,21.6,1,60,14.5,1
13896.0,48986.0,7.3,0.1054,0.532,0,8,9.8,1,36,13.51,0
4410.0,34459.0,3.4,0.5759,0.3336,0,9,23.7,1,60,13.39,0
12766.0,46455.0,3.7,0.0776,0.4455,0,11,18.6,0,60,9.73,1
4900.0,27975.0,4.6,0.1734,0.7788,0,10,16.8,0,36,13.21,2
30865.0,62511.0,4.9,0.879,0.4786,0,7,29.5,1,60,18.81,1
3482.0,49148.0,19.9,0.9099,0.5518,0,11,17.9,3,60,21.33,2
19893.0,33223.0,6.3,0.7371,0.6446,1,5,10.6,1,36,18.68,0
15450.0,49810.0,0.5,0.4018,0.1718,0,9,5.9,2,60,12.33,0
3292.0,68178.0,1.7,0.7499,0.4835,1,5,8.9,0,36,17.14,0
8265.0,88928.0,21.7,0.8311,0.1086,0,11,9.9,0,36,13.44,1
22709.0,16535.0,11.3,0.7992,0.2097,0,13,19.0,0,60,11.81,0
18871.0,56476.0,14.3,0.5321,0.3771,0,12,9.6,5,36,17.52,0
3528.0,45823.0,0.3,0.1669,0.4411,0,7,12.7,3,36,12.59,2
6984.0,34651.0,5.8,0.3194,0.3658,0,11,4.2,1,36,15.75,1
4718.0,21953.0,10.7,0.9044,0.2303,0,11,9.3,0,36,14.83,0
5158.0,68091.0,10.8,0.3533,0.2594,0,13,13.4,0,36,8.95,1
6487.0,19325.0,2.6,0.1947,0.1229,0,11,6.7,1,36,8.35,1
28777.0,48217.0,9.0,0.2048,0.4628,0,8,20.1,1,36,10.61,0
10326.0,69629.0,9.1,0.1826,0.5153,1,8,12.3,2,36,14.27,1
8323.0,16320.0,8.8,0.0267,0.3019,0,9,9.9,0,36,7.33,2
7795.0,31218.0,3.5,0.7329,0.6559,1,9,14.2,0,36,18.53,0
14208.0,18871.0,6.0,0.2207,0.1043,0,8,22.2,0,36,7.74,1
14420.0,41029.0,4.0,0.3274,0.2778,0,10,8.4,0,36,9.83,2
5488.0,77434.0,8.1,0.2484,0.2534,1,9,2.7,0,36,11.16,1
22969.0,99885.0,15.0,0.3828,0.2199,0,8,8.9,0,36,10.88,2
4974.0,14927.0,1.8,0.2445,0.2048,0,9,6.1,2,36,8.95,1
8064.0,27242.0,14.6,0.1756,0.4798,0,3,12.1,1,36,11.9,1
12477.0,51626.0,2.3,0.7861,0.5135,0,15,22.0,2,36,17.41,1
26571.0,79992.0,2.8,0.5724,0.7046,1,10,9.2,1,36,20.17,0
7735.0,44829.0,13.8,0.685,0.7457,0,6,14.9,1,36,17.12,0
11301.0,25007.0,5.6,0.3164,0.6105,0,14,24.4,3,36,15.35,1
20796.0,42132.0,4.8,0.4843,0.3795,0,9,8.7,1,60,12.01,0
13835.0,36015.0,9.2,0.426,0.1541,0,5,6.5,1,36,12.31,1
18718.0,32798.0,5.4,0.2999,0.4541,0,10,6.0,3,36,12.99,2
17746.0,25154.0,6.8,0.0893,0.3162,0,9,2.9,2,36,10.53,0
11124.0,44074.0,17.9,0.2132,0.4404,1,12,1.1,2,36,14.59,0
13897.0,42359.0,1.8,0.0251,0.078,0,6,14.5,0,36,4.69,1
16496.0,34666.0,2.3,0.4176,0.4442,0,9,2.9,1,36,10.13,1
9361.0,32505.0,6.4,0.2261,0.1799,0,7,6.9,1,36,9.48,0
24831.0,19102.0,2.6,0.0701,0.1299,1,12,13.7,0,36,8.73,1
2891.0,28479.0,3.0,0.7051,0.5652,0,13,11.4,1,60,17.29,0
5479.0,66385.0,2.7,0.2575,0.4055,0,6,16.6,1,36,13.37,0
22634.0,33015.0,17.8,0.0894,0.3992,1,7,36.5,0,60,9.72,0
12298.0,17679.0,13.3,0.0775,0.4655,0,5,11.4,1,36,9.74,0
6468.0,70772.0,4.4,0.2684,0.3825,0,5,7.1,0,36,9.19,1
11943.0,47341.0,7.0,0.5302,0.5833,0,1,11.6,2,36,16.49,2
18272.0,104198.0,9.8,0.2018,0.2173,1,6,23.8,0,36,11.91,0
6808.0,37469.0,11.3,0.278,0.3565,0,10,17.7,0,36,10.49,2
15093.0,28834.0,1.9,0.5814,0.5604,1,10,9.3,0,36,17.09,1
8849.0,17609.0,5.7,0.3828,0.3095,0,9,15.0,0,36,10.49,0
8896.0,70398.0,3.9,0.8846,0.2334,0,9,9.2,0,36,14.64,1
9136.0,131236.0,9.9,0.3142,0.1114,0,6,2.1,1,60,12.19,1
18553.0,24090.0,5.3,0.0511,0.4782,0,10,3.9,1,60,11.91,0
4865.0,26277.0,4.4,0.6392,0.1305,0,8,9.8,1,36,13.45,1
7640.0,48927.0,1.2,0.1973,0.6133,0,7,13.4,0,36,9.92,0
14174.0,23976.0,2.2,0.246,0.0821,0,14,24.4,0,60,9.02,1
4584.0,31721.0,3.0,0.2842,0.1324,0,8,20.0,1,36,8.37,0
3690.0,30488.0,8.5,0.0863,0.5229,0,10,18.5,1,36,11.43,0
13402.0,39974.0,2.8,0.4583,0.4221,1,7,5.0,2,36,14.82,1
9536.0,62781.0,3.4,0.692,0.3083,0,8,4.6,1,36,13.45,1
8722.0,36718.0,5.5,0.1543,0.5291,0,9,25.2,1,60,11.18,2
10377.0,57495.0,3.8,0.5194,0.5981,1,12,8.5,0,36,19.04,2
5317.0,29438.0,5.9,0.2715,0.4936,1,13,17.1,4,60,16.51,0
54694.0,42783.0,14.2,0.3191,0.564,0,11,9.3,1,36,13.81,1
5279.0,12468.0,3.1,0.796,0.177,0,6,25.3,2,60,14.05,0
7338.0,17589.0,5.9,0.2337,0.1623,1,10,22.1,1,60,11.99,0
4061.0,54066.0,3.1,0.5229,0.2496,2,10,2.9,1,60,13.05,0
7424.0,27036.0,5.8,0.3981,0.4471,1,14,8.5,1,36,13.35,1
23806.0,48531.0,2.3,0.2972,0.284,2,7,5.2,2,36,14.67,1
9637.0,47628.0,1.8,0.1626,0.2403,0,6,5.2,1,60,12.81,2
13614.0,70343.0,7.2,0.4244,0.2069,0,10,9.2,3,36,12.35,1
7129.0,54499.0,8.2,0.5302,0.5088,0,7,24.1,3,60,16.94,0
28277.0,60385.0,2.0,0.334,0.0966,0,15,6.5,1,60,9.93,1
10513.0,34343.0,1.6,0.1723,0.4631,1,11,13.1,0,36,8.69,1
4505.0,25613.0,1.3,0.5525,0.3871,0,7,3.3,1,60,14.96,0
15123.0,25190.0,2.8,0.5222,0.5037,0,8,5.4,2,36,18.82,1
7633.0,28452.0,22.1,0.2988,0.4789,0,8,18.4,1,60,13.46,1
13714.0,20642.0,1.5,0.4186,0.6004,2,10,33.5,0,36,14.55,1
10358.0,27620.0,11.0,0.1511,0.3424,0,4,12.1,0,36,9.22,0
11160.0,34673.0,1.2,0.2253,0.8768,1,12,4.0,2,36,16.82,0
10342.0,41184.0,10.8,0.3671,0.1946,0,7,11.4,1,60,9.75,0
5534.0,30655.0,2.5,0.2709,0.3671,0,6,7.0,0,36,10.86,0
3869.0,13879.0,11.3,0.3148,0.3283,0,7,7.0,2,36,11.45,0
17109.0,35026.0,3.7,0.4519,0.5669,0,14,15.6,3,36,15.83,0
8783.0,40647.0,19.0,0.2046,0.2845,0,11,19.5,1,36,9.68,2
11307.0,62457.0,9.7,0.3147,0.2193,0,16,5.7,0,60,10.2,1
7212.0,48481.0,8.0,0.1533,0.5639,2,6,6.0,2,36,15.27,1
2829.0,26324.0,6.1,0.1864,0.3292,1,7,14.3,0,36,9.76,1
4427.0,25289.0,1.4,0.1603,0.4137,0,7,9.8,1,36,12.97,0
22000.0,99240.0,3.8,0.2003,0.3769,0,9,3.6,1,60,9.28,2
5945.0,53014.0,8.2,0.1841,0.2598,0,13,14.2,0,60,9.93,2
7569.0,90737.0,2.2,0.2733,0.0811,0,6,13.2,0,60,11.82,0
3948.0,105316.0,4.5,0.2787,0.4867,0,13,11.2,1,36,14.38,0
6937.0,24124.0,2.2,0.8456,0.5032,0,11,6.5,1,36,17.18,1
7612.0,44030.0,7.2,0.3074,0.5272,0,17,8.6,0,36,12.67,1
8333.0,45665.0,18.8,0.0088,0.294,0,8,20.4,1,36,7.33,0
9104.0,48041.0,4.3,0.4209,0.3418,0,8,40.2,1,36,13.22,1
6514.0,47617.0,7.2,0.6609,0.6045,0,8,13.2,3,36,16.54,0
6739.0,40176.0,3.3,0.3872,0.1959,1,5,11.6,1,60,14.39,2
9433.0,39619.0,5.8,0.2758,0.1932,0,7,7.7,2,36,11.76,0
11541.0,17133.0,1.8,0.782,0.6663,0,9,11.6,1,36,16.88,0
8731.0,33433.0,9.8,0.2975,0.2069,1,13,13.1,0,36,12.26,1
27045.0,24989.0,7.2,0.5877,0.0733,0,7,4.2,0,60,10.89,1
10752.0,38679.0,23.2,0.2313,0.3915,1,8,16.7,2,60,13.57,1
10469.0,28745.0,10.2,0.3669,0.1258,0,7,22.6,2,36,10.46,1
6411.0,49477.0,5.2,0.3173,0.4039,0,6,10.3,0,36,10.41,0
17595.0,54696.0,10.2,0.2871,0.5162,1,7,5.6,0,36,14.19,1
5140.0,42376.0,6.3,0.7253,0.3895,0,4,10.1,0,36,17.68,1
3597.0,42535.0,5.4,0.9186,0.6839,0,5,12.0,0,60,20.87,0
5289.0,38043.0,10.7,0.3802,0.2954,0,8,15.8,0,36,12.79,0
13765.0,29030.0,0.9,0.1779,0.9115,0,10,12.3,2,36,14.96,0
4777.0,33448.0,0.9,0.3475,0.5765,0,10,14.0,1,60,14.67,0
20629.0,28344.0,5.1,0.4874,0.3189,0,11,8.8,0,36,12.16,0
9362.0,44090.0,6.1,0.0573,0.8936,0,12,4.0,0,36,11.78,1
3821.0,36573.0,13.1,0.2513,0.5836,0,12,11.5,1,36,12.25,1
8269.0,48564.0,6.0,0.6362,0.9148,0,13,10.5,3,36,21.01,2
27659.0,18689.0,4.8,0.5821,0.1639,0,7,15.7,2,36,14.3,0
5662.0,56607.0,10.2,0.6966,0.361,0,7,12.0,0,36,12.44,1
4323.0,24801.0,7.3,0.2283,0.0429,0,12,11.7,0,36,8.77,1
12898.0,25156.0,6.0,0.6317,0.5575,1,10,13.4,3,60,20.51,1
20765.0,32902.0,18.8,0.2669,0.2045,1,14,15.7,1,60,12.45,2
17448.0,27400.0,6.1,0.7719,0.1564,2,10,11.9,1,36,16.19,0
7786.0,42006.0,7.8,0.4904,0.156,1,6,7.2,1,36,13.41,0
10611.0,27253.0,6.9,0.5154,0.0349,1,6,20.3,0,36,12.07,2
11523.0,21274.0,1.2,0.1654,0.6351,1,6,14.8,2,36,15.45,0
19177.0,23792.0,1.6,0.4045,0.1756,1,4,9.1,1,60,13.58,0
34415.0,69982.0,1.7,0.2397,0.5774,0,9,8.6,0,36,11.24,1
8887.0,37128.0,4.8,0.6504,0.2545,0,11,13.7,1,36,15.53,1
20674.0,20257.0,7.7,0.2416,0.4384,0,14,6.4,1,36,8.91,0
7713.0,36468.0,12.7,0.4566,0.4745,0,13,15.5,1,60,11.02,1
13500.0,16681.0,0.5,0.3677,0.5741,0,7,15.2,0,36,13.86,0
5416.0,88857.0,4.0,0.5952,0.8015,1,16,18.7,2,60,16.14,0
5995.0,16946.0,18.8,0.3211,0.3575,1,11,7.3,1,60,15.28,1
12163.0,46137.0,22.2,0.5971,0.5821,1,8,24.3,1,36,17.27,1
5536.0,47658.0,9.1,0.1702,0.2534,1,4,8.1,1,60,11.26,1
16143.0,17588.0,21.7,0.2896,0.4148,0,9,2.4,0,60,12.93,0
6813.0,42198.0,3.4,0.6128,0.1535,1,9,3.5,2,36,18.2,0
9932.0,59790.0,1.4,0.1894,0.4238,1,7,13.2,1,36,12.38,1
9017.0,45880.0,4.6,0.315,0.6595,0,10,9.1,2,36,15.06,1
7762.0,41378.0,6.6,1.0396,1.0022,0,11,7.4,1,36,20.78,1
10256.0,58369.0,12.1,0.8454,0.3682,0,6,13.6,1,36,14.79,1
18116.0,39358.0,9.4,0.7264,0.0683,1,10,11.0,2,36,13.87,0
61093.0,42968.0,6.6,0.7769,0.5824,0,11,17.5,1,60,19.28,0
4651.0,34086.0,5.2,0.0492,0.4469,1,7,15.1,0,60,9.76,0
11352.0,49807.0,5.3,0.3052,0.1359,0,8,7.5,1,36,12.68,2
8533.0,22682.0,1.2,0.0438,0.1712,0,7,11.7,2,36,7.35,1
5481.0,53954.0,2.4,0.7871,0.2168,0,5,14.8,2,60,14.7,0
11258.0,28208.0,3.0,0.5104,0.1771,0,7,4.1,2,36,13.5,0
5596.0,21050.0,9.2,0.2234,0.2879,1,8,12.3,3,36,14.84,2
9047.0,43592.0,8.5,0.5511,0.4537,1,6,11.2,0,60,13.55,0
19948.0,84667.0,5.4,0.2052,0.2729,0,6,12.1,1,36,9.54,1
2820.0,58738.0,1.3,0.3133,0.3871,0,9,35.5,0,36,10.06,2
11000.0,28062.0,5.4,0.6195,0.6519,0,15,10.2,0,36,18.17,0
12396.0,51484.0,12.9,0.1952,0.5357,1,12,16.9,0,60,12.74,0
5338.0,28938.0,9.2,0.5048,0.2397,1,5,19.4,0,36,13.84,0
12983.0,34132.0,8.4,0.3927,0.5326,1,9,8.8,5,60,16.86,0
11708.0,37978.0,3.7,0.2859,0.0731,0,12,11.5,0,36,8.75,0
7690.0,11400.0,2.6,0.4765,0.7851,0,10,10.5,0,36,13.82,1
19619.0,39967.0,6.8,0.4678,0.3707,1,10,9.5,1,36,17.77,0
4327.0,21703.0,12.0,0.0814,0.3062,1,7,18.4,1,36,10.3,1
13946.0,25624.0,4.4,0.6613,0.5557,0,11,10.0,2,36,13.78,1
8241.0,17375.0,7.4,0.7621,0.4593,0,8,6.6,2,36,15.33,1
5030.0,17013.0,12.4,0.1276,0.3399,0,4,13.0,0,36,5.74,0
8523.0,22660.0,2.6,0.3673,0.2423,0,5,7.0,0,36,8.7,1
7689.0,54874.0,4.1,0.1436,0.6409,0,7,3.1,5,60,12.35,0
15496.0,83535.0,1.1,0.2131,0.5061,0,4,13.9,1,36,13.34,2
3866.0,35861.0,2.2,0.2271,0.0165,0,5,11.0,1,36,8.41,1
8436.0,62686.0,0.7,0.107,0.1437,0,7,4.6,1,36,6.68,0
7213.0,31825.0,4.5,0.5173,0.5923,0,4,15.6,0,36,17.13,0
24359.0,13961.0,10.7,0.6542,0.2956,0,6,8.4,0,36,12.87,0
4846.0,39142.0,7.3,0.3654,0.5787,0,9,4.7,1,36,16.06,0
17888.0,45380.0,5.8,0.9544,0.3056,0,7,13.4,0,36,15.97,0
3303.0,29310.0,7.2,0.5573,0.3449,1,10,18.0,2,36,15.88,0
11643.0,42240.0,1.3,0.1335,0.7517,0,10,15.2,0,36,12.56,0
8726.0,48353.0,2.0,0.0775,0.791,0,10,28.8,1,36,14.57,1
11872.0,23583.0,6.9,0.3747,0.5328,1,8,10.2,2,36,15.31,1
6204.0,17354.0,3.0,0.3337,0.3452,0,10,15.2,2,36,15.01,0
2933.0,32512.0,3.0,0.5097,0.0688,0,8,26.1,3,36,12.1,2
3739.0,32678.0,4.4,0.3111,0.7149,0,7,17.4,1,36,17.15,0
20757.0,30445.0,2.3,0.4448,0.5527,1,8,26.7,0,36,15.07,1
10727.0,59494.0,5.3,0.1357,0.4302,1,5,9.7,3,60,13.58,0
5617.0,86060.0,20.0,0.2205,0.6367,0,11,10.4,3,36,13.91,0
16178.0,29486.0,5.5,0.6495,0.1074,0,10,2.8,1,60,13.68,0
6027.0,51505.0,3.7,0.1508,0.2274,0,12,21.9,2,60,11.2,0
6046.0,58132.0,7.5,0.8146,0.3974,0,8,19.4,0,36,16.04,2
4548.0,51874.0,6.7,0.3512,0.5321,1,10,17.0,1,36,12.26,1
19076.0,61313.0,0.7,0.8899,0.2951,1,11,8.5,4,60,23.07,1
30539.0,29893.0,20.4,0.7512,0.1292,0,8,9.3,2,60,14.18,1
5274.0,52570.0,4.8,0.4665,0.5396,0,10,16.6,0,36,12.11,0
11180.0,99932.0,1.5,0.5345,0.431,0,9,24.3,1,36,12.69,1
16890.0,54276.0,9.2,0.6789,0.1208,0,7,9.3,0,36,13.88,1
33412.0,26637.0,8.5,0.6369,0.4891,0,9,7.1,1,36,14.27,1
2227.0,49210.0,21.2,0.212,0.3766,0,7,14.0,0,36,9.72,1
10211.0,68268.0,1.4,0.1577,0.334,2,9,3.3,0,60,14.13,0
13812.0,43673.0,12.8,0.0979,0.0612,1,6,10.6,1,60,10.54,2
3858.0,27400.0,10.3,0.2814,0.0736,1,5,7.1,0,36,10.13,2
11968.0,78554.0,1.7,0.1685,0.7501,0,11,21.2,2,36,12.07,2
10544.0,19441.0,13.9,0.4465,0.4495,0,14,21.3,0,60,12.57,0
14452.0,46710.0,3.5,0.5375,0.0554,1,15,5.6,1,36,13.89,1
6599.0,36023.0,1.7,0.4928,0.5336,2,7,16.9,2,60,16.13,1
12024.0,19994.0,7.6,0.2279,0.3547,0,9,19.7,0,60,9.06,0
6507.0,66818.0,1.2,0.1609,0.4602,0,5,4.7,1,36,11.87,0
13456.0,43215.0,5.1,0.7806,0.2391,0,5,14.9,1,36,14.79,0
10284.0,20264.0,4.9,0.739,0.3672,0,2,5.2,4,36,20.18,2
7459.0,49063.0,7.7,0.2034,0.3465,0,15,23.8,2,36,9.49,0
3999.0,29267.0,5.9,0.3585,0.2259,0,4,5.1,0,60,9.75,2
25129.0,14025.0,6.7,0.2015,0.1118,0,10,9.5,0,36,7.25,0
18184.0,25733.0,0.5,0.5963,0.7628,0,7,8.2,1,36,17.16,0
15847.0,41431.0,4.0,0.0488,0.1787,1,5,5.8,1,36,8.46,1
6274.0,49904.0,4.4,0.1159,0.2308,1,8,14.1,1,36,11.82,1
7575.0,39450.0,5.9,0.7881,0.2737,0,10,23.6,2,36,19.09,0
25460.0,37145.0,3.5,0.8961,0.7019,0,8,17.0,2,60,19.8,1
14611.0,45936.0,16.1,0.3349,0.7332,0,7,4.6,0,36,14.05,0
5608.0,32680.0,3.8,0.7653,0.1779,0,10,15.0,0,36,13.12,0
9614.0,65413.0,6.6,0.4813,0.4654,0,6,14.4,0,36,14.78,1
10181.0,39117.0,8.6,0.6504,0.1144,0,12,14.0,0,36,11.29,2
8298.0,42065.0,6.2,0.6483,0.3022,0,12,10.8,1,36,14.23,1
5312.0,47591.0,2.0,0.3659,0.4979,0,6,9.6,1,60,13.75,1
19873.0,21406.0,3.7,0.3568,0.4376,0,12,6.1,1,36,11.14,1
13336.0,25473.0,6.2,0.176,0.5944,0,9,7.1,1,36,12.99,0
8322.0,77986.0,2.7,0.1954,0.1991,1,10,12.9,2,36,11.45,0
3647.0,42944.0,8.4,0.9784,0.2747,1,10,19.5,2,36,19.73,0
6606.0,31530.0,5.9,0.292,0.6445,0,11,6.5,1,36,12.74,2
9355.0,43077.0,5.9,0.374,0.7402,1,11,22.4,2,36,14.76,1
15797.0,28544.0,1.4,0.4516,0.6393,0,6,5.9,1,60,15.69,0
7521.0,41743.0,4.4,0.5982,0.6833,0,7,24.3,0,36,15.75,0
18269.0,26032.0,3.5,0.3283,0.3558,0,5,11.7,0,36,11.32,1
10226.0,41690.0,8.2,0.2853,0.0648,0,5,3.0,0,36,8.4,1
6017.0,16501.0,3.0,0.6062,0.0971,0,16,15.8,1,36,13.63,1
1761.0,70648.0,4.0,0.0448,0.3408,0,8,21.8,1,60,8.61,2
4653.0,28100.0,3.8,0.5157,0.4784,0,9,8.3,3,60,16.16,0
3851.0,16471.0,9.7,0.3884,0.2681,0,5,4.5,2,60,15.1,0
8604.0,32470.0,2.1,0.5203,0.5844,0,8,8.6,2,36,15.24,2
11510.0,30167.0,2.9,0.5563,0.2236,1,6,5.9,1,36,15.0,1
21721.0,39191.0,1.7,0.1289,0.9462,0,7,16.5,2,36,13.81,0
9367.0,20483.0,8.2,0.1134,0.1314,0,7,2.2,0,60,8.26,1
4712.0,44300.0,2.2,0.3162,0.2886,1,6,5.8,0,36,11.45,0
38750.0,222300.0,5.5,0.4798,0.4307,0,4,10.7,3,60,16.45,1
11392.0,19162.0,9.0,0.2823,0.4945,0,8,31.1,0,60,10.61,1
8072.0,42996.0,1.4,0.1834,0.5439,1,5,19.3,1,60,12.37,1
8080.0,31090.0,6.2,0.3698,0.4226,0,7,12.0,1,36,15.05,0
4204.0,39987.0,6.3,0.587,0.2114,0,16,19.9,0,36,12.82,0
13862.0,14678.0,3.9,0.0728,0.3298,0,9,24.4,0,36,11.26,0
11849.0,20425.0,10.2,0.2123,0.3214,0,9,4.3,0,36,9.57,1
24575.0,45699.0,6.5,0.2685,0.493,0,6,18.5,0,36,9.76,1
18361.0,35625.0,8.3,0.6281,0.2035,1,14,15.5,0,60,13.99,2
15967.0,82258.0,12.8,0.3136,0.3661,1,8,32.2,1,36,13.61,1
20187.0,25530.0,9.6,0.5144,0.4275,0,9,19.3,1,36,13.68,1
8004.0,39626.0,9.1,0.4516,0.4613,0,6,9.6,3,36,13.16,1
7278.0,155836.0,3.2,0.5956,0.4207,0,10,6.5,2,36,12.97,1
9224.0,24766.0,6.8,0.0923,0.113,1,9,12.1,1,36,12.12,0
4502.0,23111.0,4.5,0.1236,0.4081,0,11,10.9,0,36,8.35,2
8731.0,35683.0,5.9,0.0785,0.0786,0,4,16.7,0,36,7.87,0
7811.0,35515.0,7.4,0.3131,0.0615,0,13,4.2,2,60,12.17,1
14228.0,55386.0,4.0,0.365,0.2067,0,7,6.9,0,36,11.81,1
9447.0,38746.0,3.4,0.3157,0.4864,0,13,30.6,0,36,7.04,1
3034.0,24875.0,2.7,0.3892,0.5797,0,5,9.2,3,36,12.99,1
9717.0,40365.0,5.1,0.3694,0.3913,0,7,6.1,1,36,10.43,0
22330.0,135849.0,5.3,0.4077,0.2652,0,10,12.1,1,60,12.87,0
3176.0,68589.0,1.8,0.0701,0.3572,0,6,9.1,0,36,7.95,1
6060.0,9035.0,1.1,0.2948,0.1622,0,10,13.2,1,60,8.44,2
9660.0,33826.0,5.7,0.2027,0.9574,0,12,22.1,2,36,15.98,1
4317.0,23446.0,5.8,0.4049,0.1815,1,9,5.6,3,36,15.38,0
6884.0,49570.0,1.7,0.2117,0.0996,1,7,11.9,2,36,11.29,1
